year,month,fcst,lower,upper,CI
2025,1,0.03760062851209093,0.03607739210594928,0.03918817802440671,1.1775747785591457
2025,2,0.035910386572403766,0.03425274573741597,0.03764824792924063,1.1845495088566678
2025,3,0.053501846117619184,0.05086461950749122,0.05627580753989181,1.1884515878921127
2025,4,0.04989126056205825,0.04720601326998427,0.05272925434806619,1.194141194009286
2025,5,0.045680143863791864,0.04303074639643314,0.048492664389146824,1.199436087033502
2025,6,0.04966852980539184,0.046642153517000434,0.05289127252947106,1.2031817570606356
2025,7,0.046338543380740276,0.0434478652455759,0.049421544430595335,1.2050427732561815
2025,8,0.04703594957427177,0.044049507654709906,0.050224864479657405,1.2064723826343366
2025,9,0.0499169750089389,0.04670235202091578,0.05335286738721669,1.207641512590523
2025,10,0.046247739423603766,0.04300227734019755,0.049738142584234785,1.215143536128523
2025,11,0.047624896872397175,0.04411286023830775,0.05141654360777119,1.2198245165598713
